committee_name,handle,total_videos,missing_event_id,congress_number,control,chamber
Foreign Affairs,@HouseForeignGOP,0,0,110,Democratic,house
Foreign Affairs,@HouseForeignGOP,134,134,111,Democratic,house
Foreign Affairs,@HouseForeignGOP,179,179,112,Republican,house
Foreign Affairs,@HouseForeignGOP,735,734,113,Republican,house
Foreign Affairs,@HouseForeignGOP,882,496,114,Republican,house
Foreign Affairs,@HouseForeignGOP,183,1,115,Republican,house
Foreign Affairs,@HouseForeignGOP,272,272,116,Democratic,house
Foreign Affairs,@HouseForeignGOP,255,255,117,Democratic,house
Foreign Affairs,@HouseForeignGOP,432,432,118,Republican,house
Foreign Affairs,@HouseForeignGOP,168,167,119,Republican,house
Homeland Security,@HouseHomeland,0,0,106,Republican,house
Homeland Security,@HouseHomeland,0,0,107,Republican,house
Homeland Security,@HouseHomeland,0,0,108,Republican,house
Homeland Security,@HouseHomeland,0,0,109,Republican,house
Homeland Security,@HouseHomeland,0,0,110,Democratic,house
Homeland Security,@HouseHomeland,0,0,111,Democratic,house
Homeland Security,@HouseHomeland,0,0,112,Republican,house
Homeland Security,@HouseHomeland,0,0,113,Republican,house
Homeland Security,@HouseHomeland,68,68,114,Republican,house
Homeland Security,@HouseHomeland,94,94,115,Republican,house
Homeland Security,@HouseHomeland,99,28,116,Democratic,house
Homeland Security,@HouseHomeland,87,0,117,Democratic,house
Homeland Security,@HouseHomeland,102,44,118,Republican,house
Homeland Security,@HouseHomeland,32,4,119,Republican,house
House Administration,@CommitteeonHouseAdministration,0,0,106,Republican,house
House Administration,@CommitteeonHouseAdministration,0,0,107,Republican,house
House Administration,@CommitteeonHouseAdministration,0,0,108,Republican,house
House Administration,@CommitteeonHouseAdministration,0,0,109,Republican,house
House Administration,@CommitteeonHouseAdministration,0,0,110,Democratic,house
House Administration,@CommitteeonHouseAdministration,0,0,111,Democratic,house
House Administration,@CommitteeonHouseAdministration,0,0,112,Republican,house
House Administration,@CommitteeonHouseAdministration,0,0,113,Republican,house
House Administration,@CommitteeonHouseAdministration,0,0,114,Republican,house
House Administration,@CommitteeonHouseAdministration,0,0,115,Republican,house
House Administration,@CommitteeonHouseAdministration,45,42,116,Democratic,house
House Administration,@CommitteeonHouseAdministration,69,69,117,Democratic,house
House Administration,@CommitteeonHouseAdministration,455,455,118,Republican,house
House Administration,@CommitteeonHouseAdministration,85,85,119,Republican,house
Judiciary,@USHouseJudiciaryGOP,0,0,106,Republican,house
Judiciary,@USHouseJudiciaryGOP,0,0,107,Republican,house
Judiciary,@USHouseJudiciaryGOP,0,0,108,Republican,house
Judiciary,@USHouseJudiciaryGOP,0,0,109,Republican,house
Judiciary,@USHouseJudiciaryGOP,0,0,110,Democratic,house
Judiciary,@USHouseJudiciaryGOP,0,0,111,Democratic,house
Judiciary,@USHouseJudiciaryGOP,0,0,112,Republican,house
Judiciary,@USHouseJudiciaryGOP,53,53,113,Republican,house
Judiciary,@USHouseJudiciaryGOP,226,226,114,Republican,house
Judiciary,@USHouseJudiciaryGOP,125,125,115,Republican,house
Judiciary,@USHouseJudiciaryGOP,140,140,116,Democratic,house
Judiciary,@USHouseJudiciaryGOP,112,112,117,Democratic,house
Judiciary,@USHouseJudiciaryGOP,241,241,118,Republican,house
Judiciary,@USHouseJudiciaryGOP,88,88,119,Republican,house
Judiciary,@JudiciaryDems,0,0,106,Republican,house
Judiciary,@JudiciaryDems,0,0,107,Republican,house
Judiciary,@JudiciaryDems,0,0,108,Republican,house
Judiciary,@JudiciaryDems,0,0,109,Republican,house
Judiciary,@JudiciaryDems,0,0,110,Democratic,house
Judiciary,@JudiciaryDems,0,0,111,Democratic,house
Judiciary,@JudiciaryDems,0,0,112,Republican,house
Judiciary,@JudiciaryDems,0,0,113,Republican,house
Judiciary,@JudiciaryDems,357,115,114,Republican,house
Judiciary,@JudiciaryDems,156,127,115,Republican,house
Judiciary,@JudiciaryDems,138,20,116,Democratic,house
Judiciary,@JudiciaryDems,131,27,117,Democratic,house
Judiciary,@JudiciaryDems,215,92,118,Republican,house
Judiciary,@JudiciaryDems,134,96,119,Republican,house
Natural Resources,@NaturalResourcesGOP,0,0,106,Republican,house
Natural Resources,@NaturalResourcesGOP,0,0,107,Republican,house
Natural Resources,@NaturalResourcesGOP,0,0,108,Republican,house
Natural Resources,@NaturalResourcesGOP,0,0,109,Republican,house
Natural Resources,@NaturalResourcesGOP,0,0,110,Democratic,house
Natural Resources,@NaturalResourcesGOP,4,4,111,Democratic,house
Natural Resources,@NaturalResourcesGOP,0,0,112,Republican,house
Natural Resources,@NaturalResourcesGOP,0,0,113,Republican,house
Natural Resources,@NaturalResourcesGOP,617,592,114,Republican,house
Natural Resources,@NaturalResourcesGOP,210,209,115,Republican,house
Natural Resources,@NaturalResourcesGOP,22,22,116,Democratic,house
Natural Resources,@NaturalResourcesGOP,166,152,117,Democratic,house
Natural Resources,@NaturalResourcesGOP,190,57,118,Republican,house
Natural Resources,@NaturalResourcesGOP,60,60,119,Republican,house
Natural Resources,@NaturalResourcesDems,0,0,106,Republican,house
Natural Resources,@NaturalResourcesDems,0,0,107,Republican,house
Natural Resources,@NaturalResourcesDems,0,0,108,Republican,house
Natural Resources,@NaturalResourcesDems,0,0,109,Republican,house
Natural Resources,@NaturalResourcesDems,0,0,110,Democratic,house
Natural Resources,@NaturalResourcesDems,0,0,111,Democratic,house
Natural Resources,@NaturalResourcesDems,85,84,112,Republican,house
Natural Resources,@NaturalResourcesDems,328,328,113,Republican,house
Natural Resources,@NaturalResourcesDems,51,51,114,Republican,house
Natural Resources,@NaturalResourcesDems,37,37,115,Republican,house
Natural Resources,@NaturalResourcesDems,310,239,116,Democratic,house
Natural Resources,@NaturalResourcesDems,138,136,117,Democratic,house
Natural Resources,@NaturalResourcesDems,30,30,118,Republican,house
Natural Resources,@NaturalResourcesDems,54,54,119,Republican,house
Oversight and Government Reform,@OversightandGovernmentReform,0,0,106,Republican,house
Oversight and Government Reform,@OversightandGovernmentReform,0,0,107,Republican,house
Oversight and Government Reform,@OversightandGovernmentReform,0,0,108,Republican,house
Oversight and Government Reform,@OversightandGovernmentReform,0,0,109,Republican,house
Oversight and Government Reform,@OversightandGovernmentReform,0,0,110,Democratic,house
Oversight and Government Reform,@OversightandGovernmentReform,987,986,111,Democratic,house
Oversight and Government Reform,@OversightandGovernmentReform,1268,1264,112,Republican,house
Oversight and Government Reform,@OversightandGovernmentReform,597,597,113,Republican,house
Oversight and Government Reform,@OversightandGovernmentReform,1551,1488,114,Republican,house
Oversight and Government Reform,@OversightandGovernmentReform,751,751,115,Republican,house
Oversight and Government Reform,@OversightandGovernmentReform,195,195,116,Democratic,house
Oversight and Government Reform,@OversightandGovernmentReform,13,13,117,Democratic,house
Oversight and Government Reform,@OversightandGovernmentReform,178,178,118,Republican,house
Oversight and Government Reform,@OversightandGovernmentReform,62,62,119,Republican,house
Rules,@HouseRulesCommittee,0,0,106,Republican,house
Rules,@HouseRulesCommittee,0,0,107,Republican,house
Rules,@HouseRulesCommittee,0,0,108,Republican,house
Rules,@HouseRulesCommittee,0,0,109,Republican,house
Rules,@HouseRulesCommittee,0,0,110,Democratic,house
Rules,@HouseRulesCommittee,5,5,111,Democratic,house
Rules,@HouseRulesCommittee,1,1,112,Republican,house
Rules,@HouseRulesCommittee,208,123,113,Republican,house
Rules,@HouseRulesCommittee,116,6,114,Republican,house
Rules,@HouseRulesCommittee,129,28,115,Republican,house
Rules,@HouseRulesCommittee,98,9,116,Democratic,house
Rules,@HouseRulesCommittee,123,16,117,Democratic,house
Rules,@HouseRulesCommittee,78,78,118,Republican,house
Rules,@HouseRulesCommittee,31,31,119,Republican,house
"Science, Space, and Technology",@housescience,0,0,106,Republican,house
"Science, Space, and Technology",@housescience,0,0,107,Republican,house
"Science, Space, and Technology",@housescience,0,0,108,Republican,house
"Science, Space, and Technology",@housescience,0,0,109,Republican,house
"Science, Space, and Technology",@housescience,0,0,110,Democratic,house
"Science, Space, and Technology",@housescience,0,0,111,Democratic,house
"Science, Space, and Technology",@housescience,0,0,112,Republican,house
"Science, Space, and Technology",@housescience,0,0,113,Republican,house
"Science, Space, and Technology",@housescience,616,402,114,Republican,house
"Science, Space, and Technology",@housescience,90,12,115,Republican,house
"Science, Space, and Technology",@housescience,102,4,116,Democratic,house
"Science, Space, and Technology",@housescience,89,6,117,Democratic,house
"Science, Space, and Technology",@housescience,69,68,118,Republican,house
"Science, Space, and Technology",@housescience,19,18,119,Republican,house
Small Business,@HouseSmallBiz,0,0,106,Republican,house
Small Business,@HouseSmallBiz,0,0,107,Republican,house
Small Business,@HouseSmallBiz,0,0,108,Republican,house
Small Business,@HouseSmallBiz,0,0,109,Republican,house
Small Business,@HouseSmallBiz,0,0,110,Democratic,house
Small Business,@HouseSmallBiz,683,683,111,Democratic,house
Small Business,@HouseSmallBiz,670,669,112,Republican,house
Small Business,@HouseSmallBiz,129,128,113,Republican,house
Small Business,@HouseSmallBiz,122,121,114,Republican,house
Small Business,@HouseSmallBiz,110,110,115,Republican,house
Small Business,@HouseSmallBiz,44,44,116,Democratic,house
Small Business,@HouseSmallBiz,1,1,117,Democratic,house
Small Business,@HouseSmallBiz,216,216,118,Republican,house
Small Business,@HouseSmallBiz,76,76,119,Republican,house
Veterans' Affairs,@HouseVeteransAffairs,0,0,106,Republican,house
Veterans' Affairs,@HouseVeteransAffairs,0,0,107,Republican,house
Veterans' Affairs,@HouseVeteransAffairs,0,0,108,Republican,house
Veterans' Affairs,@HouseVeteransAffairs,0,0,109,Republican,house
Veterans' Affairs,@HouseVeteransAffairs,0,0,110,Democratic,house
Veterans' Affairs,@HouseVeteransAffairs,0,0,111,Democratic,house
Veterans' Affairs,@HouseVeteransAffairs,0,0,112,Republican,house
Veterans' Affairs,@HouseVeteransAffairs,0,0,113,Republican,house
Veterans' Affairs,@HouseVeteransAffairs,0,0,114,Republican,house
Veterans' Affairs,@HouseVeteransAffairs,0,0,115,Republican,house
Veterans' Affairs,@HouseVeteransAffairs,108,30,116,Democratic,house
Veterans' Affairs,@HouseVeteransAffairs,90,90,117,Democratic,house
Veterans' Affairs,@HouseVeteransAffairs,121,120,118,Republican,house
Veterans' Affairs,@HouseVeteransAffairs,42,42,119,Republican,house
Ways and Means,@WaysandMeansCommittee,0,0,106,Republican,house
Ways and Means,@WaysandMeansCommittee,0,0,107,Republican,house
Ways and Means,@WaysandMeansCommittee,0,0,108,Republican,house
Ways and Means,@WaysandMeansCommittee,0,0,109,Republican,house
Ways and Means,@WaysandMeansCommittee,0,0,110,Democratic,house
Ways and Means,@WaysandMeansCommittee,0,0,111,Democratic,house
Ways and Means,@WaysandMeansCommittee,0,0,112,Republican,house
Ways and Means,@WaysandMeansCommittee,0,0,113,Republican,house
Ways and Means,@WaysandMeansCommittee,0,0,114,Republican,house
Ways and Means,@WaysandMeansCommittee,0,0,115,Republican,house
Ways and Means,@WaysandMeansCommittee,0,0,116,Democratic,house
Ways and Means,@WaysandMeansCommittee,0,0,117,Democratic,house
Ways and Means,@WaysandMeansCommittee,151,151,118,Republican,house
Ways and Means,@WaysandMeansCommittee,56,56,119,Republican,house
